day,hour_bin,lga,sky,scaled_ambulance,scaled_police
Friday,Afternoon,WHITTLESEA,Not clear,0.09679041449936739,0.08540330691120653
Friday,Afternoon,WODONGA,Clear,0.008786348447654985,0.00675872957511922
Friday,Afternoon,WODONGA,Not clear,0.01138710758816087,0.005693553794080435
Friday,Afternoon,WYNDHAM,Clear,0.037173012663155716,0.03311777491808418
Friday,Afternoon,WYNDHAM,Not clear,0.056935537940804345,0.051241984146723915
Friday,Afternoon,YARRA,Clear,0.029738410130524574,0.018248569852821896
Friday,Afternoon,YARRA,Not clear,0.02277421517632174,0.01138710758816087
Friday,Afternoon,YARRA RANGES,Clear,0.04731110702583455,0.03649713970564379
Friday,Afternoon,YARRA RANGES,Not clear,0.051241984146723915,0.03985487655856304
Friday,Evening,(MOUNT BULLER),Clear,0.0004958748343521569,0.0
Friday,Evening,ALPINE,Clear,0.0004958748343521569,0.0004958748343521569
Friday,Evening,ALPINE,Not clear,0.0058735519172402,0.0058735519172402
Friday,Evening,ARARAT,Clear,0.003471123840465098,0.0024793741717607843
Friday,Evening,BALLARAT,Clear,0.013884495361860393,0.011900996024451766
Friday,Evening,BALLARAT,Not clear,0.0411148634206814,0.0411148634206814
Friday,Evening,BANYULE,Clear,0.009917496687043137,0.008925747018338825
Friday,Evening,BANYULE,Not clear,0.0234942076689608,0.0234942076689608
Friday,Evening,BASS COAST,Clear,0.003966998674817255,0.003966998674817255
Friday,Evening,BASS COAST,Not clear,0.0117471038344804,0.0117471038344804
Friday,Evening,BAW BAW,Clear,0.004462873509169412,0.004462873509169412
Friday,Evening,BAW BAW,Not clear,0.017620655751720598,0.017620655751720598
Friday,Evening,BAYSIDE,Clear,0.006446372846578039,0.005454623177873726
Friday,Evening,BAYSIDE,Not clear,0.0058735519172402,0.0
Friday,Evening,BENALLA,Clear,0.0004958748343521569,0.0004958748343521569
Friday,Evening,BENALLA,Not clear,0.0058735519172402,0.0058735519172402
Friday,Evening,BENDIGO,Clear,0.012396870858803921,0.011405121190099609
Friday,Evening,BENDIGO,Not clear,0.0117471038344804,0.0117471038344804
Friday,Evening,BOROONDARA,Clear,0.013884495361860393,0.011405121190099609
Friday,Evening,BOROONDARA,Not clear,0.029367759586200998,0.0234942076689608
Friday,Evening,BRIMBANK,Clear,0.01933911853973412,0.01785149403667765
Friday,Evening,BRIMBANK,Not clear,0.0411148634206814,0.035241311503441196
Friday,Evening,BULOKE,Clear,0.0004958748343521569,0.0004958748343521569
Friday,Evening,BULOKE,Not clear,0.0058735519172402,0.0
Friday,Evening,CAMPASPE,Clear,0.003966998674817255,0.0024793741717607843
Friday,Evening,CARDINIA,Clear,0.009917496687043137,0.008925747018338825
Friday,Evening,CARDINIA,Not clear,0.0234942076689608,0.017620655751720598
Friday,Evening,CASEY,Clear,0.024793741717607842,0.02231436754584706
Friday,Evening,CASEY,Not clear,0.0822297268413628,0.0763561749241226
Friday,Evening,CENTRAL GOLDFIELDS,Clear,0.0014876245030564707,0.0014876245030564707
Friday,Evening,CENTRAL GOLDFIELDS,Not clear,0.0058735519172402,0.0058735519172402
Friday,Evening,COLAC OTWAY,Clear,0.0019834993374086276,0.0014876245030564707
Friday,Evening,COLAC OTWAY,Not clear,0.0117471038344804,0.0058735519172402
Friday,Evening,CORANGAMITE,Clear,0.003966998674817255,0.003966998674817255
Friday,Evening,CORANGAMITE,Not clear,0.0058735519172402,0.0058735519172402
Friday,Evening,DANDENONG,Clear,0.021322617877142746,0.02033086820843843
Friday,Evening,DANDENONG,Not clear,0.029367759586200998,0.0234942076689608
Friday,Evening,DAREBIN,Clear,0.013388620527508237,0.010413371521395294
Friday,Evening,DAREBIN,Not clear,0.0411148634206814,0.0411148634206814
Friday,Evening,EAST GIPPSLAND,Clear,0.003471123840465098,0.0029752490061129414
Friday,Evening,EAST GIPPSLAND,Not clear,0.0058735519172402,0.0
Friday,Evening,FRANKSTON,Clear,0.011405121190099609,0.009917496687043137
Friday,Evening,FRANKSTON,Not clear,0.029367759586200998,0.029367759586200998
Friday,Evening,GANNAWARRA,Clear,0.0004958748343521569,0.0004958748343521569
Friday,Evening,GEELONG,Clear,0.025289616551960003,0.022810242380199217
Friday,Evening,GEELONG,Not clear,0.0234942076689608,0.017620655751720598
Friday,Evening,GLEN EIRA,Clear,0.010909246355747452,0.008429872183986666
Friday,Evening,GLENELG,Clear,0.0019834993374086276,0.0019834993374086276
Friday,Evening,GLENELG,Not clear,0.0058735519172402,0.0058735519172402
Friday,Evening,GOLDEN PLAINS,Clear,0.0009917496687043138,0.0009917496687043138
Friday,Evening,GOLDEN PLAINS,Not clear,0.0117471038344804,0.0117471038344804
Friday,Evening,HEPBURN,Clear,0.0009917496687043138,0.0004958748343521569
Friday,Evening,HEPBURN,Not clear,0.0117471038344804,0.0117471038344804
Friday,Evening,HOBSONS BAY,Clear,0.00793399734963451,0.006942247680930196
Friday,Evening,HOBSONS BAY,Not clear,0.035241311503441196,0.035241311503441196
Friday,Evening,HORSHAM,Clear,0.0024793741717607843,0.0014876245030564707
Friday,Evening,HUME,Clear,0.02082674304279059,0.019834993374086275
Friday,Evening,HUME,Not clear,0.0411148634206814,0.029367759586200998
Friday,Evening,INDIGO,Clear,0.0009917496687043138,0.0009917496687043138
Friday,Evening,INDIGO,Not clear,0.0058735519172402,0.0
Friday,Evening,KINGSTON,Clear,0.006446372846578039,0.004462873509169412
Friday,Evening,KINGSTON,Not clear,0.017620655751720598,0.017620655751720598
Friday,Evening,KNOX,Clear,0.013388620527508237,0.011405121190099609
Friday,Evening,KNOX,Not clear,0.0469884153379216,0.029367759586200998
Friday,Evening,LATROBE,Clear,0.00793399734963451,0.00793399734963451
Friday,Evening,LATROBE,Not clear,0.0411148634206814,0.035241311503441196
Friday,Evening,LODDON,Clear,0.0009917496687043138,0.0009917496687043138
Friday,Evening,LODDON,Not clear,0.0058735519172402,0.0058735519172402
Friday,Evening,MACEDON RANGES,Clear,0.0019834993374086276,0.0019834993374086276
Friday,Evening,MACEDON RANGES,Not clear,0.017620655751720598,0.017620655751720598
Friday,Evening,MANNINGHAM,Clear,0.00793399734963451,0.006942247680930196
Friday,Evening,MANNINGHAM,Not clear,0.0411148634206814,0.035241311503441196
Friday,Evening,MANSFIELD,Clear,0.0019834993374086276,0.0014876245030564707
Friday,Evening,MANSFIELD,Not clear,0.0117471038344804,0.0117471038344804
Friday,Evening,MARIBYRNONG,Clear,0.00793399734963451,0.007438122515282354
Friday,Evening,MAROONDAH,Clear,0.008429872183986666,0.006446372846578039
Friday,Evening,MAROONDAH,Not clear,0.029367759586200998,0.0234942076689608
Friday,Evening,MELBOURNE,Clear,0.0322318642328902,0.026281366220664317
Friday,Evening,MELBOURNE,Not clear,0.0822297268413628,0.07048262300688239
Friday,Evening,MELTON,Clear,0.008925747018338825,0.008429872183986666
Friday,Evening,MELTON,Not clear,0.0117471038344804,0.0117471038344804
Friday,Evening,MILDURA,Clear,0.006446372846578039,0.006446372846578039
Friday,Evening,MITCHELL,Clear,0.004958748343521569,0.004462873509169412
Friday,Evening,MITCHELL,Not clear,0.029367759586200998,0.0234942076689608
Friday,Evening,MOIRA,Clear,0.003966998674817255,0.003471123840465098
Friday,Evening,MOIRA,Not clear,0.017620655751720598,0.0117471038344804
Friday,Evening,MONASH,Clear,0.018347368871029803,0.015372119864916864
Friday,Evening,MONASH,Not clear,0.0411148634206814,0.035241311503441196
Friday,Evening,MOONEE VALLEY,Clear,0.010909246355747452,0.010413371521395294
Friday,Evening,MOONEE VALLEY,Not clear,0.0234942076689608,0.0117471038344804
Friday,Evening,MOORABOOL,Clear,0.003966998674817255,0.003471123840465098
Friday,Evening,MOORABOOL,Not clear,0.0234942076689608,0.0234942076689608
Friday,Evening,MORELAND,Clear,0.015372119864916864,0.011405121190099609
Friday,Evening,MORELAND,Not clear,0.0528619672551618,0.0234942076689608
Friday,Evening,MORNINGTON PENINSULA,Clear,0.010413371521395294,0.009917496687043137
Friday,Evening,MORNINGTON PENINSULA,Not clear,0.0117471038344804,0.0117471038344804
Friday,Evening,MOUNT ALEXANDER,Clear,0.0004958748343521569,0.0004958748343521569
Friday,Evening,MOYNE,Clear,0.003471123840465098,0.0029752490061129414
Friday,Evening,MOYNE,Not clear,0.017620655751720598,0.017620655751720598
Friday,Evening,MURRINDINDI,Clear,0.003471123840465098,0.0024793741717607843
Friday,Evening,MURRINDINDI,Not clear,0.017620655751720598,0.017620655751720598
Friday,Evening,NILLUMBIK,Clear,0.005950498012225883,0.005950498012225883
Friday,Evening,NILLUMBIK,Not clear,0.017620655751720598,0.0117471038344804
Friday,Evening,NORTHERN GRAMPIANS,Clear,0.0024793741717607843,0.0019834993374086276
Friday,Evening,PORT PHILLIP,Clear,0.017355619202325492,0.01438037019621255
Friday,Evening,PORT PHILLIP,Not clear,0.0234942076689608,0.0058735519172402
Friday,Evening,PYRENEES,Clear,0.0019834993374086276,0.0019834993374086276
Friday,Evening,QUEENSCLIFFE,Clear,0.0004958748343521569,0.0004958748343521569
Friday,Evening,SHEPPARTON,Clear,0.006446372846578039,0.004958748343521569
Friday,Evening,SHEPPARTON,Not clear,0.017620655751720598,0.0117471038344804
Friday,Evening,SOUTH GIPPSLAND,Clear,0.0024793741717607843,0.0024793741717607843
Friday,Evening,SOUTH GIPPSLAND,Not clear,0.0117471038344804,0.0117471038344804
Friday,Evening,SOUTHERN GRAMPIANS,Clear,0.0014876245030564707,0.0014876245030564707
Friday,Evening,STONNINGTON,Clear,0.004958748343521569,0.0029752490061129414
Friday,Evening,STONNINGTON,Not clear,0.0234942076689608,0.0234942076689608
Friday,Evening,STRATHBOGIE,Clear,0.0029752490061129414,0.0024793741717607843
Friday,Evening,STRATHBOGIE,Not clear,0.0117471038344804,0.0117471038344804
Friday,Evening,SURF COAST,Clear,0.0024793741717607843,0.0019834993374086276
Friday,Evening,SURF COAST,Not clear,0.0234942076689608,0.0234942076689608
Friday,Evening,SWAN HILL,Clear,0.0009917496687043138,0.0009917496687043138
Friday,Evening,SWAN HILL,Not clear,0.0058735519172402,0.0058735519172402
Friday,Evening,WANGARATTA,Clear,0.0014876245030564707,0.0009917496687043138
Friday,Evening,WARRNAMBOOL,Clear,0.0024793741717607843,0.0024793741717607843
Friday,Evening,WARRNAMBOOL,Not clear,0.0058735519172402,0.0058735519172402
Friday,Evening,WELLINGTON,Clear,0.0024793741717607843,0.0024793741717607843
Friday,Evening,WELLINGTON,Not clear,0.0411148634206814,0.035241311503441196
Friday,Evening,WEST WIMMERA,Clear,0.0004958748343521569,0.0004958748343521569
Friday,Evening,WHITEHORSE,Clear,0.012396870858803921,0.011405121190099609
Friday,Evening,WHITEHORSE,Not clear,0.0117471038344804,0.0058735519172402
Friday,Evening,WHITTLESEA,Clear,0.02380199204890353,0.02033086820843843
Friday,Evening,WHITTLESEA,Not clear,0.0117471038344804,0.0117471038344804
Friday,Evening,WODONGA,Clear,0.0029752490061129414,0.0029752490061129414
Friday,Evening,WODONGA,Not clear,0.0058735519172402,0.0058735519172402
Friday,Evening,WYNDHAM,Clear,0.014876245030564708,0.01438037019621255
Friday,Evening,WYNDHAM,Not clear,0.017620655751720598,0.017620655751720598
Friday,Evening,YARRA,Clear,0.008925747018338825,0.006942247680930196
Friday,Evening,YARRA,Not clear,0.0411148634206814,0.035241311503441196
Friday,Evening,YARRA RANGES,Clear,0.015372119864916864,0.013884495361860393
Friday,Evening,YARRA RANGES,Not clear,0.07048262300688239,0.058735519172401995
Friday,Evening,YARRIAMBIACK,Clear,0.0009917496687043138,0.0009917496687043138
Friday,Morning,(MOUNT HOTHAM),Clear,0.0027909626427496006,0.0
Friday,Morning,(MOUNT HOTHAM),Not clear,0.0049739454302175565,0.0049739454302175565
Friday,Morning,ALPINE,Clear,0.013954813213748004,0.009768369249623602
Friday,Morning,ARARAT,Clear,0.008372887928248801,0.008372887928248801
Friday,Morning,ARARAT,Not clear,0.0049739454302175565,0.0049739454302175565
Friday,Morning,BALLARAT,Clear,0.033491551712995206,0.026514145106121205
Friday,Morning,BALLARAT,Not clear,0.009947890860435113,0.009947890860435113
Friday,Morning,BANYULE,Clear,0.03209607039162041,0.026514145106121205
Friday,Morning,BANYULE,Not clear,0.034817618011522895,0.019895781720870226
Friday,Morning,BASS COAST,Clear,0.012559331892373203,0.012559331892373203
Friday,Morning,BASS COAST,Not clear,0.019895781720870226,0.019895781720870226
Friday,Morning,BAW BAW,Clear,0.019536738499247204,0.015350294535122804
Friday,Morning,BAW BAW,Not clear,0.019895781720870226,0.01492183629065267
Friday,Morning,BAYSIDE,Clear,0.026514145106121205,0.023723182463371607
Friday,Morning,BAYSIDE,Not clear,0.0049739454302175565,0.0049739454302175565
Friday,Morning,BENALLA,Clear,0.012559331892373203,0.009768369249623602
Friday,Morning,BENDIGO,Clear,0.03907347699849441,0.026514145106121205
Friday,Morning,BENDIGO,Not clear,0.02984367258130534,0.02984367258130534
Friday,Morning,BOROONDARA,Clear,0.048841846248118014,0.03488703303437001
Friday,Morning,BOROONDARA,Not clear,0.04476550887195801,0.03979156344174045
Friday,Morning,BRIMBANK,Clear,0.06977406606874002,0.05721473417636681
Friday,Morning,BRIMBANK,Not clear,0.034817618011522895,0.02984367258130534
Friday,Morning,BULOKE,Clear,0.0027909626427496006,0.0027909626427496006
Friday,Morning,BULOKE,Not clear,0.0049739454302175565,0.0
Friday,Morning,CAMPASPE,Clear,0.016745775856497603,0.015350294535122804
Friday,Morning,CAMPASPE,Not clear,0.0049739454302175565,0.0049739454302175565
Friday,Morning,CARDINIA,Clear,0.022327701141996805,0.020932219820622006
Friday,Morning,CARDINIA,Not clear,0.01492183629065267,0.01492183629065267
Friday,Morning,CASEY,Clear,0.09768369249623603,0.07675147267561402
Friday,Morning,CASEY,Not clear,0.034817618011522895,0.024869727151087782
